title,company,salary,location,url,crawled_at,min_salary_raw,max_salary_raw,currency,min_salary_mil_vnd,max_salary_mil_vnd,avg_salary_mil_vnd
Junior Fullstack Developer (14-18m),,Thỏa thuận,,https://www.topcv.vn/viec-lam/junior-fullstack-developer-14-18m/2017834.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.616833,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.616833,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.616833,,,Negotiable,,,
Nhân Viên Lập Trình - FullStack Developer,,Thỏa thuận,,https://www.topcv.vn/viec-lam/nhan-vien-lap-trinh-fullstack-developer/2022072.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.621549,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.621549,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.621549,,,Negotiable,,,
Web Developer Từ 2 Năm Kinh Nghiệm - Thu Nhập Lên Đến 20 Triệu,,Thỏa thuận,,https://www.topcv.vn/viec-lam/web-developer-tu-2-nam-kinh-nghiem-thu-nhap-len-den-20-trieu/2020261.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.622996,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.622996,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.622996,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/viec-lam/mobile-developer/2018426.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.623676,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.623676,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.623676,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.625818,,,Negotiable,,,
Lập Trình Android (Mobile Dev),,Thỏa thuận,,https://www.topcv.vn/viec-lam/lap-trinh-android-mobile-dev/2017004.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.625818,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.625818,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.625818,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.625818,,,Negotiable,,,
Lập Trình Viên (Full Stack NodeJS/NestJS/ReactJS) – Upto 45M - Tại Hà Nội,,Thỏa thuận,,https://www.topcv.vn/viec-lam/lap-trinh-vien-full-stack-nodejs-nestjs-reactjs-upto-45m-tai-ha-noi/2023909.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.625818,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.625818,,,Negotiable,,,
"Lập Trình Viên Web (C#, .Net) - Từ 1 Năm Kinh Nghiệm",,Thỏa thuận,,https://www.topcv.vn/viec-lam/lap-trinh-vien-web-c-net-tu-1-nam-kinh-nghiem/2020293.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.629126,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.629126,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.629654,,,Negotiable,,,
IOS Native (Salary Upto 1200$),,Thỏa thuận,,https://www.topcv.vn/viec-lam/ios-native-salary-upto-1200/2020016.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.630479,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.630479,,,Negotiable,,,
Mobile Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-mobile-developer-cr257cb258cl274,2026-01-30T04:02:01.630479,,,Negotiable,,,
Kỹ Sư Lập Trình Hệ Thống,,Thỏa thuận,,https://www.topcv.vn/viec-lam/ky-su-lap-trinh-he-thong/2017839.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.632584,,,Negotiable,,,
Fullstack Developer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-fullstack-developer-cr257cb258cl275,2026-01-30T04:02:01.632584,,,Negotiable,,,
Viễn thông,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=14,2026-01-30T04:02:01.632584,,,Negotiable,,,
3D Unity Developer - Kinh Nghiệm 2 Năm Trở Lên  - Thu Nhập Hấp Dẫn -  Làm Việc Tại Hồ Chí Minh,,Thỏa thuận,,https://www.topcv.vn/viec-lam/3d-unity-developer-kinh-nghiem-2-nam-tro-len-thu-nhap-hap-dan-lam-viec-tai-ho-chi-minh/2006723.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.632584,,,Negotiable,,,
Software Engineer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-software-engineer-cr257cb258cl271,2026-01-30T04:02:01.632584,,,Negotiable,,,
IT - Phần mềm,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-moi-nhat?domain_knowledge=3,2026-01-30T04:02:01.632584,,,Negotiable,,,
Nghỉ thứ 7,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-nghi-thu-7,2026-01-30T04:02:01.632584,,,Negotiable,,,
Software Engineer,,Thỏa thuận,,https://www.topcv.vn/tim-viec-lam-software-engineer-cr257cb258cl271,2026-01-30T04:02:01.632584,,,Negotiable,,,
[Hybrid] Fresher / Junior Sofware Engineer ( Yêu Cầu Tiếng Nhật Từ N3) [Salary Up To 20M],,Thỏa thuận,,https://www.topcv.vn/viec-lam/hybrid-fresher-junior-sofware-engineer-yeu-cau-tieng-nhat-tu-n3-salary-up-to-20m/2018594.html?ta_source=JobSearchList_LinkDetail&u_sr_id=wj6p3Qkdg7giMPXLA8GmOiy6vAqpmq8I5QYLuSKw_1769720520,2026-01-30T04:02:01.632584,,,Negotiable,,,
